RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
274771,Northeast Colorado Springs,Colorado Springs,CO,Colorado Springs,El Paso,69,192300,193300,194600,196600,198800,200800,202600,204300,206200,208300,210000,211700,213500
276151,Woodward Park,Fresno,CA,Fresno,Fresno,70,176700,178000,179400,180200,180800,182100,183800,185000,186200,187900,189400,192500,197200
197044,Park Slope,New York,NY,New York,Kings,71,1098100,1108200,1126500,1157200,1185600,1197500,1202700,1213000,1225400,1236400,1239600,1244100,1250100
276107,Winnetka Heights,Dallas,TX,Dallas-Fort Worth,Dallas,72,100100,100200,99100,97400,96400,95900,95300,95000,95800,97000,96900,95300,94200
274552,Mission,San Francisco,CA,San Francisco,San Francisco,73,1240700,1241200,1247800,1255100,1257100,1259000,1272200,1287400,1296500,1309500,1335100,1348700,1343700
269566,Albany Park,Chicago,IL,Chicago,Cook,74,174200,174500,174400,174000,173900,175000,176700,176900,176400,176200,176800,177700,179000
417478,Green Run,Virginia Beach,VA,Virginia Beach,Virginia Beach City,75,140100,140700,141700,143500,144700,144100,143600,144200,144500,144500,144400,144300,144600
118920,Westwood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,76,861100,869400,875300,881900,890800,898600,902700,910400,923500,937000,947100,952200,953500
273201,Central Colorado Springs,Colorado Springs,CO,Colorado Springs,El Paso,77,172500,174400,176000,177700,180200,182900,185200,187200,189100,190800,192200,194700,197200
273860,Gramercy,New York,NY,New York,New York,78,1498300,1506400,1502700,1526200,1570000,1585700,1570800,1561600,1554500,1567700,1585900,1574400,1541600
269605,Rogers Park,Chicago,IL,Chicago,Cook,79,146200,146800,146700,145500,144400,143300,143600,144700,146200,147300,148000,148300,149300
274056,Hoover,Fresno,CA,Fresno,Fresno,80,105100,106000,107600,106400,104900,106500,110500,114400,118000,121300,123300,124200,125900
403120,South Austin,Chicago,IL,Chicago,Cook,81,154700,156300,159200,162900,165900,165400,161300,159200,160600,163100,164900,164700,165200
273794,Fresno High Roeding,Fresno,CA,Fresno,Fresno,82,139400,140800,142700,144800,146700,148400,150500,152400,153700,155000,156600,159000,161800
275707,The Heights,Jersey City,NJ,New York,Hudson,83,313000,321400,331800,338500,339900,343600,351300,359400,368000,377300,385000,393400,401000
229214,Raleigh,Memphis,TN,Memphis,Shelby,84,60700,61400,61900,62000,62200,63400,65000,65900,65600,65100,64600,64000,63900
267926,Encanto,Phoenix,AZ,Phoenix,Maricopa,85,214600,217300,217200,217900,222000,226100,229000,232100,235000,236300,236800,239200,242200
244707,Kempsville,Virginia Beach,VA,Virginia Beach,Virginia Beach City,86,149600,148500,147700,148100,149300,149900,149800,149500,148900,149100,149700,150200,150800
269072,Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,87,148600,148700,150900,152100,151400,151000,151400,152600,154400,155400,154500,153700,154400
343869,Northeast Raleigh,Raleigh,NC,Raleigh,Wake,88,114500,115200,117000,118500,119600,120800,122000,123100,124700,126500,127200,127100,126900
273177,Centennial Hills,Las Vegas,NV,Las Vegas,Clark,89,165600,167900,171800,174900,176700,177600,179100,181800,185200,188000,190300,192300,194600
54232,Roxbury,Boston,MA,Boston,Suffolk,90,348000,349000,348000,346500,347700,348300,351300,357200,361800,364200,368800,372600,374100
124381,Flagami,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,91,221900,225700,228300,229900,231400,233000,235000,236500,238300,239800,238500,236800,237100
274346,Lone Mountain,Las Vegas,NV,Las Vegas,Clark,92,152400,153000,155000,158100,161300,164900,167800,170600,173200,175600,177100,178000,178200
111617,Casas Adobes,Tucson,AZ,Tucson,Pima,93,155300,156600,157900,159700,161500,162600,163200,164400,165900,167700,169000,169600,170000
274765,Northeast Anaheim,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,94,327900,330100,332400,333400,336400,343600,350600,354100,355600,355600,354200,354600,356700
343244,Northwest,Chula Vista,CA,San Diego,San Diego,95,378800,381400,384100,384000,382500,385300,388600,388800,387300,388400,391500,395000,397200
273197,Central City,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,96,354100,357200,360400,364200,365800,364800,364000,366600,371400,375300,376200,375300,374800
276446,Mclane,Fresno,CA,Fresno,Fresno,97,136200,137300,138600,139300,140000,141400,143100,144200,145100,146000,146600,148100,150400
275609,Summerlin North,Las Vegas,NV,Las Vegas,Clark,98,178400,179400,181300,184500,189800,193600,195000,197000,199500,202900,206300,208900,211000
273496,Downtown,Memphis,TN,Memphis,Shelby,99,46800,46700,47300,48300,48800,48200,47700,47800,47900,47800,46800,45100,44100
31817,Granada Hills,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,100,435200,437800,444000,452000,456700,456800,459600,466600,473800,478000,482500,489200,495100
273674,Fairgrounds,San Jose,CA,San Jose,Santa Clara,101,567600,578900,588100,595000,600900,607000,613200,621800,632700,646500,663000,681200,694700
117557,Rancho Penasquitos,San Diego,CA,San Diego,San Diego,102,321300,324900,326200,326500,328200,333500,341900,349200,353200,354100,356300,360500,364300
27987,Winnetka,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,103,354000,357400,362000,365200,366600,365800,364800,365200,366600,367400,369100,370500,370900
275306,Santa Teresa,San Jose,CA,San Jose,Santa Clara,104,545100,554000,564200,576900,586600,592600,596600,600800,608900,620500,631600,642500,649800
274510,Michael Way,Las Vegas,NV,Las Vegas,Clark,105,96000,97200,97500,98400,100500,101500,101600,103200,107100,110300,112500,114300,116100
118673,University City,San Diego,CA,San Diego,San Diego,106,442000,444500,444600,447600,453600,458000,460100,463800,467600,472800,480700,488800,492700
276254,Chelsea,New York,NY,New York,New York,107,2475400,2476500,2474700,2466200,2489600,2515200,2513300,2498400,2505200,2519500,2527200,2518100,2507400
275496,Southwest Anaheim,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,108,384900,384600,384000,384800,383700,379100,380200,386500,390000,392300,396500,400100,403000
269589,Lake View,Chicago,IL,Chicago,Cook,109,382200,384800,385500,385700,386400,386700,386500,386300,386400,386000,385200,384200,384700
48570,Woodland Hills,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,110,502200,505700,508000,508900,509000,511300,513600,516200,519400,523100,527800,532700,535500
274835,Oak Lawn,Dallas,TX,Dallas-Fort Worth,Dallas,111,322700,322900,324500,326700,329800,333700,334700,334300,335000,336800,336500,335300,334800
115609,Highland Park,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,112,646400,649400,650800,649600,650900,656000,660400,662100,666200,673100,681500,694100,706900
273184,Central,El Paso,TX,El Paso,El Paso,113,82500,82600,82600,83300,84200,84400,83900,84000,84800,85800,86600,87100,87200
